RandomID,Age,Sex,BornAUS,Variable1,Variable2,Variable3
176,23,1,0,27,16,44
177,25,1,1,36,23,44
260,22,1,0,28,18,49
347,20,1,0,21,22,49
5,22,1,0,30,13,37
30,21,1,0,29,21,49
64,20,0,0,33,20,44
196,19,1,0,35,18,37
199,18,1,1,26,19,44
230,20,0,0,33,16,50
268,25,1,1,18,17,48
319,24,1,0,25,20,44
340,24,1,0,23,16,36
11,20,1,0,25,19,32
12,21,1,0,38,22,20
27,20,0,0,33,20,30
52,22,1,0,36,18,32
53,20,1,0,33,16,29
58,20,1,0,29,21,39
61,22,0,0,43,18,40
69,21,1,0,20,20,37
75,24,1,1,35,23,45
78,21,0,0,25,15,33
80,23,1,0,39,18,36
82,21,1,0,3,16,46
89,21,1,0,32,21,34
97,19,0,0,25,19,37
99,20,1,0,39,18,42
105,24,1,0,22,18,44
108,23,1,0,30,16,36
125,21,0,0,26,14,38
126,23,0,0,33,21,33
131,21,1,1,33,19,46
141,21,1,0,29.07692308,18,41
151,22,1,1,22,18,49
152,22,1,0,25,18,31
159,22,1,0,20,18,50
168,20,1,0,28,22,46
181,22,1,0,23,17,39
187,23,1,0,31,19,47
188,22,1,0,33,19,24
203,23,0,0,24,17,39
204,22,0,0,36,19,28
205,21,1,0,20,20,45
234,19,0,0,37,20,34
244,20,1,0,19,16,35
250,24,1,0,31,18,41
256,20,1,0,28,17,24
259,23,1,0,26,18,42
266,18,0,0,39,16,38
267,21,1,0,30,19,42
280,18,0,0,32,16,37
284,22,1,0,18,15,48
285,23,0,0,30,15,37
288,22,1,0,30,19,33
291,21,1,0,37,17,43
297,22,1,0,40,19,35
310,18,0,0,28,20,28
317,21,1,1,25,19,27
331,20,1,0,24,19,42
338,22,0,0,24,20,33
363,18,1,1,36,14,37
365,19,0,0,30,21,28
373,21,1,0,29,18,46.66666667
380,22,1,0,38.76923077,18,31
1,21,1,0,41,20,17
3,21,1,0,22,16,45
6,18,1,0,13,17,49
9,19,1,0,31,19,48
17,22,0,0,39,16,33
18,19,1,0,10,16,22
19,19,1,0,33,19,41
24,21,1,0,19,20,39
38,24,1,0,28,16.8,40
41,22,1,0,29,17,33
42,22,1,0,27,16,35
43,19,1,0,28,16,28
44,19,1,0,21,18,28
49,22,1,0,13,18,42
54,21,1,0,28,22,39
55,23,1,0,28,20,36
56,18,1,0,24.76923077,19,42
67,18,1,0,39,17,24
68,22,1,1,31,18,47
70,23,0,0,28,22,35.55555556
71,21,1,0,24,16,35
72,21,1,0,35,17,41
73,21,1,0,45,20,38
77,19,1,0,18,21,27
84,23,1,1,15,18,26
86,21,0,0,30,16,25.55555556
87,21,0,0,25,20,34
91,18,1,0,20,17,31
94,21,1,0,15,20,45
98,18,1,0,20,19,43
100,21,1,0,22,17,38
101,19,0,0,28,19,36
116,21,1,0,25,19,45
117,22,1,0,44,16,29
