"","RandomID","Age","Sex","BornAUS","AUDITCat","Variable1","Variable2","Variable3"
"1",176,23,1,0,"Moderate",27,16,44
"2",177,25,1,1,"Moderate",36,23,44
"3",260,22,1,0,"Moderate",28,18,49
"4",347,20,1,0,"Moderate",21,22,49
"5",5,22,1,0,"Moderate",30,13,37
"6",30,21,1,0,"Moderate",29,21,49
"7",64,20,0,0,"At Risk",33,20,44
"8",196,19,1,0,"Abstainer",35,18,37
"9",199,18,1,1,"Moderate",26,19,44
"10",230,20,0,0,"Moderate",33,16,50
"11",268,25,1,1,"Moderate",18,17,48
"12",319,24,1,0,"Moderate",25,20,44
"13",340,24,1,0,"Abstainer",23,16,36
"14",11,20,1,0,"Moderate",25,19,32
"15",12,21,1,0,"Moderate",38,22,20
"16",27,20,0,0,"Moderate",33,20,30
"17",52,22,1,0,"Moderate",36,18,32
"18",53,20,1,0,"Moderate",33,16,29
"19",58,20,1,0,"Moderate",29,21,39
"20",61,22,0,0,"Abstainer",43,18,40
"21",69,21,1,0,"Moderate",20,20,37
"22",75,24,1,1,"Moderate",35,23,45
"23",78,21,0,0,"Abstainer",25,15,33
"24",80,23,1,0,"Abstainer",39,18,36
"25",82,21,1,0,"Moderate",3,16,46
"26",89,21,1,0,"Moderate",32,21,34
"27",97,19,0,0,"Moderate",25,19,37
"28",99,20,1,0,"At Risk",39,18,42
"29",105,24,1,0,"Abstainer",22,18,44
"30",108,23,1,0,"Moderate",30,16,36
"31",125,21,0,0,"Moderate",26,14,38
"32",126,23,0,0,"Abstainer",33,21,33
"33",131,21,1,1,"Moderate",33,19,46
"34",141,21,1,0,"Abstainer",29.0769230769231,18,41
"35",151,22,1,1,"Moderate",22,18,49
"36",152,22,1,0,"Abstainer",25,18,31
"37",159,22,1,0,"Moderate",20,18,50
"38",168,20,1,0,"Abstainer",28,22,46
"39",181,22,1,0,"Moderate",23,17,39
"40",187,23,1,0,"At Risk",31,19,47
"41",188,22,1,0,"Moderate",33,19,24
"42",203,23,0,0,"Moderate",24,17,39
"43",204,22,0,0,"At Risk",36,19,28
"44",205,21,1,0,"Moderate",20,20,45
"45",234,19,0,0,"Moderate",37,20,34
"46",244,20,1,0,"Moderate",19,16,35
"47",250,24,1,0,"Moderate",31,18,41
"48",256,20,1,0,"Abstainer",28,17,24
"49",259,23,1,0,"Moderate",26,18,42
"50",266,18,0,0,"Moderate",39,16,38
"51",267,21,1,0,"Abstainer",30,19,42
"52",280,18,0,0,"Moderate",32,16,37
"53",284,22,1,0,"Moderate",18,15,48
"54",285,23,0,0,"Abstainer",30,15,37
"55",288,22,1,0,"Moderate",30,19,33
"56",291,21,1,0,"Abstainer",37,17,43
"57",297,22,1,0,"Moderate",40,19,35
"58",310,18,0,0,"At Risk",28,20,28
"59",317,21,1,1,"Moderate",25,19,27
"60",331,20,1,0,"Abstainer",24,19,42
"61",338,22,0,0,"Moderate",24,20,33
"62",363,18,1,1,"Moderate",36,14,37
"63",365,19,0,0,"Abstainer",30,21,28
"64",373,21,1,0,"Abstainer",29,18,46.6666666666667
"65",380,22,1,0,"At Risk",38.7692307692308,18,31
"66",1,21,1,0,"Moderate",41,20,17
"67",3,21,1,0,"Moderate",22,16,45
"68",6,18,1,0,"Abstainer",13,17,49
"69",9,19,1,0,"Moderate",31,19,48
"70",17,22,0,0,"At Risk",39,16,33
"71",18,19,1,0,"Moderate",10,16,22
"72",19,19,1,0,"Moderate",33,19,41
"73",24,21,1,0,"Moderate",19,20,39
"74",38,24,1,0,"Abstainer",28,16.8,40
"75",41,22,1,0,"Moderate",29,17,33
"76",42,22,1,0,"At Risk",27,16,35
"77",43,19,1,0,"Moderate",28,16,28
"78",44,19,1,0,"Moderate",21,18,28
"79",49,22,1,0,"Moderate",13,18,42
"80",54,21,1,0,"Moderate",28,22,39
"81",55,23,1,0,"Moderate",28,20,36
"82",56,18,1,0,"Moderate",24.7692307692308,19,42
"83",67,18,1,0,"Moderate",39,17,24
"84",68,22,1,1,"Moderate",31,18,47
"85",70,23,0,0,"Abstainer",28,22,35.5555555555556
"86",71,21,1,0,"At Risk",24,16,35
"87",72,21,1,0,"Moderate",35,17,41
"88",73,21,1,0,"Moderate",45,20,38
"89",77,19,1,0,"Abstainer",18,21,27
"90",84,23,1,1,"At Risk",15,18,26
"91",86,21,0,0,"Moderate",30,16,25.5555555555556
"92",87,21,0,0,"At Risk",25,20,34
"93",91,18,1,0,"Moderate",20,17,31
"94",94,21,1,0,"Moderate",15,20,45
"95",98,18,1,0,"Moderate",20,19,43
"96",100,21,1,0,"At Risk",22,17,38
"97",101,19,0,0,"Moderate",28,19,36
"98",116,21,1,0,"Abstainer",25,19,45
"99",117,22,1,0,"Abstainer",44,16,29
"100",120,21,1,0,"Moderate",28,18,49
"101",124,19,1,0,"Moderate",27,21,23
"102",128,18,1,0,"Moderate",24,19,41
"103",129,20,1,0,"Moderate",35,14,38
"104",133,21,1,0,"Moderate",15,16,35
"105",135,20,1,0,"Moderate",18,21,40
"106",136,18,1,0,"Moderate",20,20,47
"107",137,20,1,0,"Moderate",23,19,36
"108",139,20,1,0,"Moderate",26,17,33.3333333333333
"109",142,22,1,0,"Moderate",33,17,42
"110",143,20,1,1,"At Risk",26,18,49
"111",144,20,1,0,"Moderate",36.6153846153846,17,38
"112",146,20,1,0,"Moderate",44,19,30
"113",150,24,1,0,"At Risk",19,14,30
"114",155,20,1,0,"Moderate",44,22,19
"115",158,21,0,0,"Moderate",31,18,32
"116",160,23,1,0,"Moderate",24,16,36
"117",162,18,0,0,"Moderate",36,16,40
"118",164,19,1,0,"Moderate",20,18,41
"119",166,21,1,1,"Moderate",34,17,40
"120",169,20,0,0,"Abstainer",37,16,47
"121",171,24,1,1,"At Risk",28,19,43
"122",172,21,1,0,"Moderate",26,15,35
"123",175,20,0,0,"Abstainer",36,21.6,26
"124",178,21,1,0,"Moderate",17,14.4,46
"125",185,24,1,0,"At Risk",27,17,33
"126",189,20,1,0,"Moderate",23,16,37
"127",193,18,1,0,"Abstainer",29,19,27
"128",194,19,1,0,"Moderate",27,23,49
"129",195,20,0,0,"Moderate",21,20,49
"130",197,20,0,0,"At Risk",27,17,40
"131",198,23,0,0,"Abstainer",22,14,29
"132",201,25,1,1,"Moderate",21,17,41
"133",207,24,1,0,"At Risk",29,19,35
"134",211,20,1,0,"Abstainer",16,19,41
"135",218,21,1,0,"Moderate",29,21,28
"136",219,19,1,0,"Moderate",19,22,48
"137",222,20,1,0,"At Risk",33,17,15
"138",224,22,1,0,"Moderate",32,20,21
"139",227,19,0,0,"At Risk",36,22,46
"140",228,21,0,0,"Moderate",18,22,31
"141",233,23,1,0,"Abstainer",36,17,37
"142",237,23,0,0,"Abstainer",34,21,35
"143",239,22,0,0,"Moderate",34,18,34
"144",245,21,1,1,"At Risk",33,20,34
"145",247,20,1,0,"Abstainer",34,18,32
"146",248,23,1,1,"Moderate",33,19,25
"147",249,19,0,0,"At Risk",34,20,29
"148",251,21,1,0,"Abstainer",30,22,33
"149",252,22,1,0,"At Risk",30,19,32
"150",253,25,0,0,"Moderate",6,14,28
"151",257,22,0,0,"Moderate",19,20,46
"152",258,21,0,0,"At Risk",23,15,31
"153",261,21,0,0,"Abstainer",31,20,43
"154",262,18,0,0,"Moderate",30,21,46
"155",270,23,1,0,"Moderate",29,17,36
"156",271,20,0,0,"Abstainer",23,15,17
"157",274,21,1,0,"Abstainer",27,16,29
"158",275,21,1,0,"Moderate",38,17,28
"159",277,21,1,0,"Abstainer",31,18,34
"160",294,19,1,0,"Moderate",39,22,33
"161",299,21,1,0,"Moderate",29,21,33
"162",303,19,1,0,"Moderate",36,17,42
"163",304,22,1,0,"Moderate",33,19,22
"164",306,21,1,0,"Moderate",12,18,44
"165",308,18,1,1,"Moderate",28,15,26
"166",312,19,1,0,"Moderate",26,19,24
"167",313,20,1,0,"Abstainer",26,19,43
"168",318,18,1,0,"Moderate",15,20,36
"169",320,20,0,0,"Moderate",12.9230769230769,22,29
"170",322,21,0,0,"Abstainer",34,18,28
"171",327,22,1,0,"Moderate",32,22,48
"172",329,23,1,0,"Moderate",28,18,37
"173",334,23,1,1,"Moderate",23,18,35
"174",335,20,0,1,"Abstainer",27,20,31
"175",336,20,1,0,"Abstainer",35,20,44.4444444444444
"176",337,22,1,0,"Abstainer",28,20,22
"177",345,21,1,0,"Abstainer",25,18,39
"178",348,19,0,0,"Abstainer",18,15,35
"179",354,20,0,0,"Moderate",25,20,38
"180",355,21,1,0,"Abstainer",27,17,26
"181",358,19,1,0,"Moderate",26,21,34
"182",359,22,1,0,"Moderate",36,20,19
"183",360,20,0,0,"Moderate",17,23,44
"184",361,21,0,0,"Moderate",31,19,33
"185",372,22,1,0,"Moderate",43,18,30
"186",375,20,1,0,"Abstainer",22,19,41
"187",377,21,1,0,"Moderate",22,20,24
"188",2,22,0,0,"Moderate",24,18,36
"189",7,22,1,0,"Moderate",18,16,34
"190",14,20,1,0,"Moderate",14,18,40
"191",16,21,1,0,"At Risk",23,19.2,22
"192",20,21,0,0,"Abstainer",39,20,33
"193",21,20,0,0,"Abstainer",38,18,34
"194",23,19,0,0,"Moderate",34,16,29
"195",25,21,1,0,"Abstainer",29,17,19
"196",26,24,1,0,"Abstainer",16,18,32
"197",29,19,0,0,"Moderate",31,22,22
"198",32,20,0,0,"At Risk",26,16,32
"199",39,21,1,0,"Abstainer",22,16,33
"200",40,21,1,0,"Abstainer",23,17,44
"201",45,20,1,0,"Abstainer",34,19,34
"202",46,22,0,0,"Abstainer",27,17,34
"203",48,22,1,0,"Abstainer",31,15,29
"204",50,18,1,0,"Moderate",28,16,34
"205",57,22,1,0,"Moderate",21,21,28
"206",60,18,0,0,"Moderate",34,20,35
"207",62,23,1,0,"Abstainer",39,18,31
"208",66,23,0,0,"At Risk",21,23,34
"209",83,23,1,0,"Moderate",26,18,42
"210",85,22,0,0,"Moderate",29,13,34
"211",88,22,1,1,"At Risk",28,17,30
"212",92,23,1,0,"Moderate",33,18,23
"213",95,21,1,1,"Moderate",29,19,34
"214",96,22,1,0,"Abstainer",36.1666666666667,19,22
"215",102,18,0,0,"Moderate",26,18,31
"216",106,23,0,0,"Moderate",20,15,37
"217",107,22,1,0,"Moderate",27,19,34
"218",112,20,1,0,"Moderate",20,20,34
"219",114,19,1,0,"At Risk",37.6923076923077,21,28
"220",115,21,1,0,"Moderate",28,22,28
"221",118,21,0,0,"At Risk",39,20,33
"222",119,20,1,0,"Moderate",13,19,41
"223",121,22,0,0,"Abstainer",20,20,38
"224",127,22,1,0,"Abstainer",27,16,35
"225",130,21,1,1,"At Risk",35,17,14
"226",138,19,1,0,"Moderate",25,20,21
"227",148,18,1,0,"Moderate",23,16,30
"228",153,20,1,0,"Moderate",30,20,42
"229",156,21,1,0,"Abstainer",12,18,33
"230",157,20,0,0,"At Risk",29,19,33
"231",161,23,1,0,"Moderate",37,13,28
"232",167,21,1,0,"Moderate",29,20,47
